 @# k   band (eV)
   0.000  -5.074  -3.448  -3.055  -2.996  -2.158  -1.345  -1.313  -0.679  -0.091  -0.034   1.807   1.838   2.510   2.510   2.708   2.708  19.176  20.018
   0.002  -5.073  -3.447  -3.055  -2.996  -2.158  -1.346  -1.314  -0.678  -0.091  -0.034   1.803   1.834   2.512   2.512   2.713   2.713  19.169  20.010
   0.004  -5.069  -3.443  -3.054  -2.995  -2.156  -1.350  -1.317  -0.677  -0.091  -0.033   1.791   1.822   2.518   2.518   2.727   2.728  19.147  19.987
   0.007  -5.064  -3.438  -3.054  -2.994  -2.154  -1.355  -1.323  -0.674  -0.090  -0.032   1.773   1.803   2.527   2.527   2.750   2.752  19.112  19.949
   0.009  -5.057  -3.431  -3.053  -2.993  -2.151  -1.362  -1.330  -0.671  -0.089  -0.031   1.748   1.777   2.540   2.540   2.781   2.783  19.062  19.897
   0.011  -5.048  -3.422  -3.051  -2.992  -2.147  -1.372  -1.340  -0.667  -0.087  -0.030   1.718   1.747   2.557   2.558   2.819   2.822  19.000  19.830
   0.013  -5.037  -3.411  -3.050  -2.991  -2.142  -1.384  -1.352  -0.661  -0.085  -0.028   1.685   1.713   2.578   2.578   2.863   2.866  18.925  19.751
   0.016  -5.024  -3.398  -3.048  -2.989  -2.137  -1.397  -1.365  -0.655  -0.083  -0.026   1.648   1.675   2.602   2.603   2.912   2.915  18.838  19.659
   0.018  -5.008  -3.382  -3.046  -2.987  -2.130  -1.413  -1.381  -0.648  -0.081  -0.023   1.609   1.636   2.630   2.631   2.965   2.969  18.741  19.555
   0.020  -4.991  -3.365  -3.044  -2.984  -2.122  -1.430  -1.398  -0.640  -0.078  -0.020   1.568   1.594   2.662   2.662   3.021   3.026  18.634  19.441
   0.022  -4.972  -3.345  -3.041  -2.982  -2.113  -1.449  -1.418  -0.631  -0.075  -0.017   1.525   1.551   2.697   2.697   3.081   3.087  18.518  19.318
   0.024  -4.951  -3.323  -3.038  -2.979  -2.104  -1.470  -1.439  -0.621  -0.071  -0.014   1.482   1.507   2.735   2.736   3.144   3.150  18.394  19.187
   0.027  -4.927  -3.299  -3.035  -2.976  -2.093  -1.493  -1.461  -0.610  -0.068  -0.010   1.437   1.462   2.777   2.777   3.209   3.215  18.264  19.048
   0.029  -4.902  -3.273  -3.032  -2.972  -2.081  -1.517  -1.486  -0.598  -0.064  -0.006   1.393   1.417   2.821   2.822   3.277   3.283  18.127  18.903
